sample,configuration,F_kch_peak_N,F_chv1_peak_N,a_peak_m_s2,j_peak_m_s3,P_peak_W,P_mean_W,u1_peak_m
101,compliant,41440.25656731876,11496.81903321408,2.3864439129714583,31.24698300634134,92300.00000000001,78664.8260073992,0.054757136987389494
102,rigid,43965.31792442499,0.0,2.335785059742534,20.65577903506656,92300.00000000001,77329.34014225204,0.0
102,compliant,41048.32443940028,11923.997528621632,2.403177285842844,29.999138897306068,92300.00000000001,78432.7109691266,0.05601375003457011
103,rigid,43877.38123810486,0.0,2.304122530267705,20.85850312494844,92300.00000000001,77380.66502262982,0.0
103,compliant,41347.01114197351,11814.521746770335,2.4011120923706244,30.460805021795608,92300.00000000001,78582.08188296799,0.0583342606435763
104,rigid,43965.53384507554,0.0,2.2645922516661017,21.191850933243444,92300.00000000001,77475.59447599763,0.0
104,compliant,41478.77892430114,11331.289477365,2.400987037772495,31.2143369548634,92300.00000000001,78886.17645117597,0.05805279929497339
105,rigid,46734.4263467999,0.0,2.3297541350413553,21.854948094264017,92300.00000000001,77705.7461882975,0.0
105,compliant,41755.36058980291,11135.7991694038,2.3218196570029477,32.605159350945115,92300.00000000001,78871.10329723785,0.052491924969878
106,rigid,46157.03701651129,0.0,2.3248675641888212,21.66251635990517,92300.00000000001,77632.31824857724,0.0
106,compliant,41597.2550541307,11084.119097076325,2.3609393891944706,32.23198577328816,92300.00000000001,78915.70052424775,0.056339142244099756
107,rigid,46930.02460896316,0.0,2.3274769547234087,21.943511066469654,92300.00000000001,77740.8962894988,0.0
107,compliant,41606.68137684025,11107.053672562744,2.3136513036877773,32.813600470008595,92300.00000000001,78858.22833928755,0.055173500218125
108,rigid,43720.7277945884,0.0,2.2581513710248373,21.136893005183367,92300.00000000001,77458.18622653774,0.0
108,compliant,41461.32683503397,11703.923476139968,2.3853902195414207,31.041955175047633,92300.00000000001,78530.89879030756,0.055975799192424194
109,rigid,43851.13596565908,0.0,2.29553541793706,20.91360012296917,92300.00000000001,77394.71455255267,0.0
109,compliant,41516.44153254869,11958.037732466384,2.389953771182036,30.578290721009893,92300.00000000001,78367.02944376919,0.06287661472324747
110,rigid,44828.597589212244,0.0,2.291736576389951,21.358103042183075,92300.00000000001,77527.90489891074,0.0
110,compliant,41597.78223151316,11215.283686444489,2.392429440816329,31.57717631174137,92300.00000000001,78940.87667939474,0.05776488325912564
111,rigid,47038.818912005976,0.0,2.324627891397995,22.005750069021815,92300.00000000001,77764.59247882997,0.0
111,compliant,41737.8486268825,10710.561303676022,2.342372105174036,32.96932317239245,92300.00000000001,79314.1935279053,0.053585786132904586
112,rigid,45609.565131820935,0.0,2.3132185618940184,21.52360265458063,92300.00000000001,77583.25130555595,0.0
112,compliant,41731.92312205122,11442.12453049886,2.3612707180925554,31.896871089818063,92300.00000000001,78717.38518392203,0.06051806471898852
113,rigid,43759.64104793957,0.0,2.2688403577540157,21.075281138659506,92300.00000000001,77439.5021917701,0.0
113,compliant,41481.287067655736,11559.410077828288,2.399101611474748,30.94007309242278,92300.00000000001,78745.86229228353,0.0590010108992238
114,rigid,46826.48530038432,0.0,2.329131446790143,21.89299798968733,92300.00000000001,77721.14750852772,0.0
114,compliant,41558.2050763528,11054.022491925405,2.3283146229107388,32.734224896520516,92300.00000000001,78883.64540029656,0.0542137679650943
