P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s,braking_time_s,braking_distance_m,mean_decel_m_s2
92300.00000000001,80693.7301495124,448326.1456935725,35499.82885641268,16665.398736469517,38281.249322258525,7824.56471799731,6523.930918507199,2.411869538483529,1.020086924878812,30.907113703868674,5.98691109336466,0.0391228697666661,0.04349256944324571,0.16910740207697245,0.15895775516560404,5.555898145529979,16.890616539109846,5.0,3.0401235174630905,5.555898145529979,6,compliant,start_off,full_scale,0.7584249973297119,,,
92300.00000000001,84728.68333070748,2239221.398388005,35499.75823997926,9825.896845717172,4403.350495901613,0.0,0.0,0.5910237309079358,0.5834754698243657,6.643966184024233,0.5933317666625185,0.0,0.0,0.0,0.0,26.428138740785357,206.23111471282755,0.0010000000000044281,7.8034671585102595,0.0,6,rigid,braking,full_scale,,26.428138740785357,206.23111471282755,-0.581892607835921
92300.00000000001,84748.09936046238,2228196.153619745,35499.85498358889,9858.386989354332,4403.071809239998,2304.5028598418708,1890.865261793373,0.6476580771661702,0.5862643711801528,8.168302153896192,0.6499902427324208,0.011522514077056843,0.012605767613072368,0.04266626401948026,0.03994653024440389,26.291989678051323,204.43825996077248,0.0009999999999784758,7.775686076197669,26.291989678051323,6,compliant,braking,full_scale,,26.291989678051323,204.43825996077248,-0.5849058494882838
92300.00000000001,74049.6910482716,300480.70642089867,35499.98361706523,19538.817701789263,44859.60072361631,0.0,0.0,2.29272899400587,1.0877605238594161,21.37015480902869,6.2887089998474535,0.0,0.0,0.0,0.0,4.057825254463532,9.139139240515668,4.0,2.252225937693216,0.0,7,rigid,start_off,full_scale,0.1347346305847168,,,
92300.00000000001,75380.53314744298,304533.7736246183,35499.89901474216,19639.690456435244,41856.10100920557,12726.593307619241,11361.819338200285,2.2378467401534863,1.0858603849736037,31.595184662079305,7.0003221832908515,0.06363292140365878,0.07574504362983629,0.19376362788897933,0.20582892289499827,4.0399525037711745,9.260268950373487,4.0,2.292172738912239,4.0399525037711745,7,compliant,start_off,full_scale,0.6455233097076416,,,
92300.00000000001,85554.53731365349,2236711.8605227824,35499.8934087768,10214.119589510836,5103.132646610226,0.0,0.0,0.577817293348744,0.5606779809899348,6.422499683487363,0.5971251931783728,0.0,0.0,0.0,0.0,26.14369653268909,193.8371816455874,0.0010000000000199897,7.414298874930725,0.0,7,rigid,braking,full_scale,,26.14369653268909,193.8371816455874,-0.559143593118387
92300.00000000001,85552.18133193332,2216714.565444243,35499.82516733374,10263.229534509868,5103.132760294095,3625.139719435107,3228.4687373580286,0.6988638702466687,0.5654159282513633,8.847598212623701,0.7118504504734182,0.018125696343825923,0.021523139802668952,0.05571611117467352,0.05995549025788217,25.910672655366056,191.14358172580978,0.0010000000000167037,7.377021142884918,25.910672655366056,7,compliant,braking,full_scale,,25.910672655366056,191.14358172580978,-0.5641721618262975
92300.00000000001,77529.93421294705,388732.2539761966,35499.97358062041,18038.762123835706,44860.00418731536,0.0,0.0,2.2927284318121792,1.0048960404684093,21.369030554424313,5.657038126731197,0.0,0.0,0.0,0.0,5.013963418419625,13.208739030744399,4.5,2.6343907986765496,0.0,8,rigid,start_off,full_scale,0.15550613403320312,,,
92300.00000000001,78822.38037163398,399760.05816151854,35499.97551053952,18018.38793770304,41856.02655200028,12726.588401919873,11361.816879725955,2.237847995108268,0.9935360008799242,31.59102954978789,6.246974492095804,0.06363289744634479,0.07574503487116774,0.19375303493959023,0.20582537122543737,5.071656758863645,13.65253273006725,4.5,2.69192759663676,5.071656758863645,8,compliant,start_off,full_scale,0.6793954372406006,,,
92300.00000000001,85554.53731365349,2236711.8605227824,35499.8934087768,10214.119589510836,5103.132646610226,0.0,0.0,0.577817293348744,0.5606779809899348,6.422499683487363,0.5971251931783728,0.0,0.0,0.0,0.0,26.14369653268909,193.8371816455874,0.0010000000000199897,7.414298874930725,0.0,8,rigid,braking,full_scale,,26.14369653268909,193.8371816455874,-0.559143593118387
92300.00000000001,85552.18133193332,2216714.565444243,35499.82516733374,10263.229534509868,5103.132760294095,3625.139719435107,3228.4687373580286,0.6988638702466687,0.5654159282513633,8.847598212623701,0.7118504504734182,0.018125696343825923,0.021523139802668952,0.05571611117467352,0.05995549025788217,25.910672655366056,191.14358172580978,0.0010000000000167037,7.377021142884918,25.910672655366056,8,compliant,braking,full_scale,,25.910672655366056,191.14358172580978,-0.5641721618262975
92300.00000000001,80202.2303429332,490958.4245006497,35499.98534358968,16664.558365916753,44859.6179395071,0.0,0.0,2.2926724507338463,0.9295342488099314,21.365294160773658,5.119081920208227,0.0,0.0,0.0,0.0,6.121505878345054,18.476218639446987,5.0,3.0182473216655517,0.0,9,rigid,start_off,full_scale,0.15247893333435059,,,
92300.00000000001,81417.81277645617,511406.56135676446,35499.98176390717,16559.486634929646,41856.08953196627,12726.595137951655,11361.816261061149,2.2377795980834776,0.9110274287238505,31.583792454819644,5.612074624027275,0.06363287403706122,0.07574498398867063,0.1937476259828021,0.20582658060394995,6.281261359364955,19.40585228761262,5.0,3.089483346760859,6.281261359364955,9,compliant,start_off,full_scale,0.7068724632263184,,,
92300.00000000001,85554.53731365349,2236711.8605227824,35499.8934087768,10214.119589510836,5103.132646610226,0.0,0.0,0.577817293348744,0.5606779809899348,6.422499683487363,0.5971251931783728,0.0,0.0,0.0,0.0,26.14369653268909,193.8371816455874,0.0010000000000199897,7.414298874930725,0.0,9,rigid,braking,full_scale,,26.14369653268909,193.8371816455874,-0.559143593118387
92300.00000000001,85552.18133193332,2216714.565444243,35499.82516733374,10263.229534509868,5103.132760294095,3625.139719435107,3228.4687373580286,0.6988638702466687,0.5654159282513633,8.847598212623701,0.7118504504734182,0.018125696343825923,0.021523139802668952,0.05571611117467352,0.05995549025788217,25.910672655366056,191.14358172580978,0.0010000000000167037,7.377021142884918,25.910672655366056,9,compliant,braking,full_scale,,25.910672655366056,191.14358172580978,-0.5641721618262975
